id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado,fecha_siniestro_dt,monto_siniestro_num,motivo_rechazo
96,17713,2026-02-21,"7,797.66",Abierto,,7797.66,fecha_invalida
97,13086,2025/01/01,-,Rechazado,,,"fecha_invalida, monto_nulo_o_no_numerico"
98,19925,01-25-25,"1.228,19",,,1228.19,"fecha_invalida, estado_nulo"
100,24052,2025/03/16,"2.342,67",,,2342.67,"fecha_invalida, estado_nulo"
102,8858,2025/01/16,5155.20,Cerrado,,5155.2,fecha_invalida
103,19170,2026/02/01,10183.94,,,10183.94,"fecha_invalida, estado_nulo"
104,1153,2025/02/05,2580.40,,,2580.4,"fecha_invalida, estado_nulo"
106,2501,2025/11/29,511.10,Abierto,,511.1,fecha_invalida
107,17613,20/06/2025,11560.34,,,11560.34,"fecha_invalida, estado_nulo"
108,1500,2025/01/01,nan,Abierto,,,"fecha_invalida, monto_nulo_o_no_numerico"
109,9413,2025/07/21,"4.356,60",Cerrado,,4356.6,fecha_invalida
110,16745,2025/03/27,8484.21,Abierto,,8484.21,fecha_invalida
112,6548,2025/10/27,13134.70,Cerrado,,13134.7,fecha_invalida
113,8649,01-22-26,10126.28,Abierto,,10126.28,fecha_invalida
115,24834,2025/10/08,12189.58,Abierto,,12189.58,fecha_invalida
116,8222,05-04-25,-,Abierto,,,"fecha_invalida, monto_nulo_o_no_numerico"
117,12941,12-12-2025,nan,Abierto,2025-12-12,,monto_nulo_o_no_numerico
118,21719,28/02/2025,nan,Abierto,,,"fecha_invalida, monto_nulo_o_no_numerico"
119,1874,2025-07-26,"5,171.14",,,5171.14,"fecha_invalida, estado_nulo"
120,21805,2025/12/07,"12,403.48",Abierto,,12403.48,fecha_invalida
121,3645,10-04-25,13084.42,Rechazado,,13084.42,fecha_invalida
122,16832,09-03-25,7489.48,,,7489.48,"fecha_invalida, estado_nulo"
123,8567,09-22-25,5749.70,Rechazado,,5749.7,fecha_invalida
124,4535,2025-12-15,9389.56,,,9389.56,"fecha_invalida, estado_nulo"
125,17509,2025-11-09,1154.08,Cerrado,,1154.08,fecha_invalida
126,13007,10-17-25,13629.62,Rechazado,,13629.62,fecha_invalida
127,424,29/07/2025,1595.62,Cerrado,,1595.62,fecha_invalida
128,24167,09-15-25,nan,,,,"fecha_invalida, monto_nulo_o_no_numerico, estado_nulo"
129,8836,02-03-25,1652.79,Abierto,,1652.79,fecha_invalida
130,14357,08-30-25,nan,Rechazado,,,"fecha_invalida, monto_nulo_o_no_numerico"
131,21837,05/09/2025,"13,932.10",,2025-05-09,13932.1,estado_nulo
132,1290,2025-03-01,"9,918.51",,,9918.51,"fecha_invalida, estado_nulo"
133,5720,28/02/2025,-,Abierto,,,"fecha_invalida, monto_nulo_o_no_numerico"
134,7223,22/04/2025,-,Abierto,,,"fecha_invalida, monto_nulo_o_no_numerico"
135,24992,02-08-25,302.32,Abierto,,302.32,fecha_invalida
136,9670,05-31-25,"6.040,15",Cerrado,,6040.15,fecha_invalida
137,23959,2025/05/26,13295.74,Cerrado,,13295.74,fecha_invalida
138,22384,2025/11/10,"9.051,84",Abierto,,9051.84,fecha_invalida
139,21305,2025-12-12,12134.64,Rechazado,,12134.64,fecha_invalida
140,21427,2025-10-11,"12.522,96",Abierto,,12522.96,fecha_invalida
141,25512,26/12/2025,"8,366.08",Abierto,,8366.08,fecha_invalida
142,14587,2026-02-17,-,Abierto,,,"fecha_invalida, monto_nulo_o_no_numerico"
143,2790,13-10-2025,-,Rechazado,2025-10-13,,monto_nulo_o_no_numerico
145,5744,2025-07-24,3902.65,Abierto,,3902.65,fecha_invalida
147,3192,02-21-26,9549.21,Cerrado,,9549.21,fecha_invalida
148,9556,06-19-25,-,Cerrado,,,"fecha_invalida, monto_nulo_o_no_numerico"
149,9146,14/11/2025,2981.78,Abierto,,2981.78,fecha_invalida
151,2464,2025/02/14,"3,627.56",Cerrado,,3627.56,fecha_invalida
153,7402,26/03/2025,nan,Abierto,,,"fecha_invalida, monto_nulo_o_no_numerico"
154,11333,2026-01-07,nan,,,,"fecha_invalida, monto_nulo_o_no_numerico, estado_nulo"
155,17654,2025-03-22,13419.79,,,13419.79,"fecha_invalida, estado_nulo"
157,22187,03-04-25,4984.64,Cerrado,,4984.64,fecha_invalida
161,12821,29/01/2025,1663.96,,,1663.96,"fecha_invalida, estado_nulo"
162,17558,16/12/2025,2904.94,Abierto,,2904.94,fecha_invalida
163,3344,2026/02/01,nan,Cerrado,,,"fecha_invalida, monto_nulo_o_no_numerico"
164,3953,06-27-25,14622.50,Cerrado,,14622.5,fecha_invalida
165,3478,03-20-25,"5.989,33",Cerrado,,5989.33,fecha_invalida
166,3400,10-30-25,11123.38,,,11123.38,"fecha_invalida, estado_nulo"
167,19661,2025/10/29,5398.38,Cerrado,,5398.38,fecha_invalida
168,6501,2025/10/20,3552.32,Cerrado,,3552.32,fecha_invalida
170,14794,2025-12-30,nan,Abierto,,,"fecha_invalida, monto_nulo_o_no_numerico"
171,6401,2025-11-02,"13.258,53",Rechazado,,13258.53,fecha_invalida
172,10449,29/03/2025,"3,349.56",Abierto,,3349.56,fecha_invalida
175,6907,06-12-2025,12028.02,,2025-12-06,12028.02,estado_nulo
176,14992,03-10-25,7840.46,Abierto,,7840.46,fecha_invalida
177,15938,2025-11-25,13797.55,,,13797.55,"fecha_invalida, estado_nulo"
178,22497,2025/09/24,"12.188,69",Cerrado,,12188.69,fecha_invalida
179,12699,2026-01-22,"1.452,35",,,1452.35,"fecha_invalida, estado_nulo"
180,13273,15/01/2025,14255.51,,,14255.51,"fecha_invalida, estado_nulo"
181,3779,2025/05/19,"2,915.04",Abierto,,2915.04,fecha_invalida
182,6051,2025-07-15,"4.083,60",Abierto,,4083.6,fecha_invalida
183,15820,2025-06-27,nan,Rechazado,,,"fecha_invalida, monto_nulo_o_no_numerico"
185,23960,2025/03/25,2485.00,Cerrado,,2485.0,fecha_invalida
186,14257,14-01-2026,nan,Abierto,2026-01-14,,monto_nulo_o_no_numerico
187,17116,2026/01/25,"8,263.06",Rechazado,,8263.06,fecha_invalida
188,9285,07-04-25,"3,554.71",,,3554.71,"fecha_invalida, estado_nulo"
189,11691,2026-01-17,nan,Abierto,,,"fecha_invalida, monto_nulo_o_no_numerico"
190,15565,2025/06/23,-,Abierto,,,"fecha_invalida, monto_nulo_o_no_numerico"
193,19056,02-12-2025,nan,Abierto,2025-12-02,,monto_nulo_o_no_numerico
194,13685,2026-02-08,8942.15,Abierto,,8942.15,fecha_invalida
195,3021,22/02/2026,1043.99,Rechazado,,1043.99,fecha_invalida
197,5812,2025/07/08,"12.806,56",,,12806.56,"fecha_invalida, estado_nulo"
198,3833,2025-08-18,"9.016,27",Rechazado,,9016.27,fecha_invalida
199,15158,2025/09/12,-,Abierto,,,"fecha_invalida, monto_nulo_o_no_numerico"
201,10253,2026/01/01,nan,,,,"fecha_invalida, monto_nulo_o_no_numerico, estado_nulo"
202,6793,30-08-2025,nan,Cerrado,2025-08-30,,monto_nulo_o_no_numerico
203,21133,2025/07/10,4564.31,Rechazado,,4564.31,fecha_invalida
204,11440,2025-01-28,nan,Rechazado,,,"fecha_invalida, monto_nulo_o_no_numerico"
207,10666,2025/03/09,"10,303.63",Abierto,,10303.63,fecha_invalida
208,5006,2025/05/24,"4.504,93",Cerrado,,4504.93,fecha_invalida
209,16837,20/08/2025,11810.11,,,11810.11,"fecha_invalida, estado_nulo"
210,14034,08-20-25,"12.036,08",Cerrado,,12036.08,fecha_invalida
212,14352,05-18-25,"8.847,32",,,8847.32,"fecha_invalida, estado_nulo"
214,16890,2026-01-25,"2,780.04",Abierto,,2780.04,fecha_invalida
216,8726,2025/07/23,"4.346,45",,,4346.45,"fecha_invalida, estado_nulo"
217,14431,2025/09/27,"2.510,93",Abierto,,2510.93,fecha_invalida
219,25727,02-04-26,nan,Cerrado,,,"fecha_invalida, monto_nulo_o_no_numerico"
220,2535,2025/12/19,"5.001,06",Abierto,,5001.06,fecha_invalida
221,2986,2025-02-12,9139.78,Cerrado,,9139.78,fecha_invalida
222,13632,05-06-25,14814.18,Cerrado,,14814.18,fecha_invalida
223,2629,08-10-25,"3.642,77",,,3642.77,"fecha_invalida, estado_nulo"
224,19260,14/02/2026,"5,466.39",Abierto,,5466.39,fecha_invalida
225,19366,2025/05/20,851.04,,,851.04,"fecha_invalida, estado_nulo"
226,12950,08-05-25,"2,683.64",Cerrado,,2683.64,fecha_invalida
228,9398,09-26-25,-,Abierto,,,"fecha_invalida, monto_nulo_o_no_numerico"
229,16087,2025/06/11,"5.957,36",Cerrado,,5957.36,fecha_invalida
231,16670,2025-09-17,12582.50,Rechazado,,12582.5,fecha_invalida
232,3014,03-07-25,9726.96,Cerrado,,9726.96,fecha_invalida
234,16501,04/10/2025,-,,2025-04-10,,"monto_nulo_o_no_numerico, estado_nulo"
235,23798,2025/07/10,"10,657.43",Abierto,,10657.43,fecha_invalida
236,22678,11-11-2025,nan,Abierto,2025-11-11,,monto_nulo_o_no_numerico
237,24184,2025-07-13,"13,713.94",,,13713.94,"fecha_invalida, estado_nulo"
238,19973,2025-08-01,nan,Rechazado,,,"fecha_invalida, monto_nulo_o_no_numerico"
239,22979,2025/11/05,-,Cerrado,,,"fecha_invalida, monto_nulo_o_no_numerico"
240,15810,03-10-25,nan,Rechazado,,,"fecha_invalida, monto_nulo_o_no_numerico"
243,9965,2025-02-27,4275.37,,,4275.37,"fecha_invalida, estado_nulo"
244,3256,2025-07-09,nan,Abierto,,,"fecha_invalida, monto_nulo_o_no_numerico"
245,5447,20/08/2025,"14.464,74",Abierto,,14464.74,fecha_invalida
246,11329,2025-01-10,11681.88,Abierto,,11681.88,fecha_invalida
247,23410,2025/04/29,8598.25,,,8598.25,"fecha_invalida, estado_nulo"
248,11871,25/01/2026,804.82,Cerrado,,804.82,fecha_invalida
249,18003,08-02-25,14986.14,,,14986.14,"fecha_invalida, estado_nulo"
250,2158,05-20-25,nan,Abierto,,,"fecha_invalida, monto_nulo_o_no_numerico"
251,21022,18-07-2025,nan,Rechazado,2025-07-18,,monto_nulo_o_no_numerico
252,2267,01-11-25,12762.64,Abierto,,12762.64,fecha_invalida
253,1765,2026/01/31,10785.64,Abierto,,10785.64,fecha_invalida
254,22116,03-14-25,"5,059.14",Cerrado,,5059.14,fecha_invalida
255,24181,09-02-2025,"3,638.10",,2025-02-09,3638.1,estado_nulo
256,1939,2025-11-03,7149.72,,,7149.72,"fecha_invalida, estado_nulo"
257,15563,04-27-25,7905.89,Cerrado,,7905.89,fecha_invalida
258,7251,2025/09/04,"359,56",Abierto,,359.56,fecha_invalida
259,19809,21/09/2025,10058.57,Cerrado,,10058.57,fecha_invalida
260,17781,03-11-25,14206.04,,,14206.04,"fecha_invalida, estado_nulo"
261,9851,2025-12-31,"1,092.58",Rechazado,,1092.58,fecha_invalida
262,17232,27/02/2025,nan,Abierto,,,"fecha_invalida, monto_nulo_o_no_numerico"
263,6744,2025/05/06,"8.228,53",Abierto,,8228.53,fecha_invalida
264,13686,09/10/2025,nan,Abierto,2025-09-10,,monto_nulo_o_no_numerico
265,217,12-11-25,"3,763.55",Abierto,,3763.55,fecha_invalida
266,18359,22/07/2025,"11.326,78",Rechazado,,11326.78,fecha_invalida
267,13995,2025/09/08,6273.55,,,6273.55,"fecha_invalida, estado_nulo"
269,20302,2025-11-29,"12,935.03",,,12935.03,"fecha_invalida, estado_nulo"
270,21104,2025-08-28,8284.25,Abierto,,8284.25,fecha_invalida
271,16423,06/10/2025,"12.531,38",,2025-06-10,12531.38,estado_nulo
272,11306,2025/10/12,"6,748.93",Abierto,,6748.93,fecha_invalida
273,14467,03-20-25,2855.89,Abierto,,2855.89,fecha_invalida
274,22521,09/12/2025,6246.09,,2025-09-12,6246.09,estado_nulo
275,19524,09-13-25,10334.68,Abierto,,10334.68,fecha_invalida
276,24025,07-21-25,12873.15,Cerrado,,12873.15,fecha_invalida
277,4835,2025/11/21,"10,216.40",,,10216.4,"fecha_invalida, estado_nulo"
278,12350,02-02-26,"2,215.15",,,2215.15,"fecha_invalida, estado_nulo"
279,8178,30/05/2025,10418.51,Rechazado,,10418.51,fecha_invalida
280,3145,2025-08-11,"2.935,10",,,2935.1,"fecha_invalida, estado_nulo"
282,11387,07-02-25,5370.01,Cerrado,,5370.01,fecha_invalida
283,17276,2025-04-06,8841.01,,,8841.01,"fecha_invalida, estado_nulo"
284,4685,2025-01-05,"11,406.08",Abierto,,11406.08,fecha_invalida
285,17418,2025/04/10,5091.35,Abierto,,5091.35,fecha_invalida
286,14149,2025/05/29,"7.311,29",Abierto,,7311.29,fecha_invalida
287,17519,2025/11/22,"2.869,86",Rechazado,,2869.86,fecha_invalida
288,19817,01-22-25,"2.321,09",Abierto,,2321.09,fecha_invalida
289,2525,01-20-25,6583.18,Cerrado,,6583.18,fecha_invalida
290,23857,07-23-25,"3,302.24",Cerrado,,3302.24,fecha_invalida
291,367,2025/12/04,9606.53,,,9606.53,"fecha_invalida, estado_nulo"
293,10362,24/09/2025,"8.077,52",,,8077.52,"fecha_invalida, estado_nulo"
294,21932,01-02-26,9926.07,Abierto,,9926.07,fecha_invalida
296,2362,11-01-2026,-,Rechazado,2026-01-11,,monto_nulo_o_no_numerico
297,7821,2025/12/09,"3.566,43",Cerrado,,3566.43,fecha_invalida
298,6809,2025/10/20,1486.47,,,1486.47,"fecha_invalida, estado_nulo"
300,13999,02-23-25,331.95,Abierto,,331.95,fecha_invalida
301,19710,2025/08/08,"1.424,02",Cerrado,,1424.02,fecha_invalida
302,22748,2025/12/04,5352.07,,,5352.07,"fecha_invalida, estado_nulo"
303,1719,2025/11/14,-,Abierto,,,"fecha_invalida, monto_nulo_o_no_numerico"
304,2036,21/02/2025,8381.86,Cerrado,,8381.86,fecha_invalida
305,13740,2025-12-25,nan,Abierto,,,"fecha_invalida, monto_nulo_o_no_numerico"
306,11979,24/05/2025,3782.57,,,3782.57,"fecha_invalida, estado_nulo"
307,9896,19/02/2026,9098.49,,,9098.49,"fecha_invalida, estado_nulo"
308,15831,06-07-2025,4383.22,,2025-07-06,4383.22,estado_nulo
309,22223,2025/04/03,"11.939,28",Cerrado,,11939.28,fecha_invalida
310,18660,2025-11-24,7735.22,,,7735.22,"fecha_invalida, estado_nulo"
313,12886,03-26-25,-,Abierto,,,"fecha_invalida, monto_nulo_o_no_numerico"
314,6169,08-08-2025,nan,Cerrado,2025-08-08,,monto_nulo_o_no_numerico
316,19243,2025-11-19,2098.28,,,2098.28,"fecha_invalida, estado_nulo"
317,7504,06-12-2025,"6,038.60",,2025-12-06,6038.6,estado_nulo
318,18504,12-17-25,14001.50,Cerrado,,14001.5,fecha_invalida
319,4709,2025/07/17,-,Cerrado,,,"fecha_invalida, monto_nulo_o_no_numerico"
320,17508,2025/10/31,"8.640,45",Abierto,,8640.45,fecha_invalida
321,15003,2025/10/22,4359.69,Abierto,,4359.69,fecha_invalida
322,19178,2025-12-08,"10,770.63",Abierto,,10770.63,fecha_invalida
323,17082,11/05/2025,"11,204.61",,2025-11-05,11204.61,estado_nulo
325,25648,14-11-2025,"-12.908,94",,2025-11-14,-12908.94,"monto_no_positivo, estado_nulo"
326,6507,11-06-2025,6243.40,,2025-06-11,6243.4,estado_nulo
327,8526,17/05/2025,13905.74,Rechazado,,13905.74,fecha_invalida
328,19746,2025/03/11,6693.43,Abierto,,6693.43,fecha_invalida
329,23344,2025/01/08,10541.76,Abierto,,10541.76,fecha_invalida
330,13177,09-03-2025,-,,2025-03-09,,"monto_nulo_o_no_numerico, estado_nulo"
331,16704,2025/08/12,nan,,,,"fecha_invalida, monto_nulo_o_no_numerico, estado_nulo"
333,21160,2025/11/26,"6.116,37",Abierto,,6116.37,fecha_invalida
334,12046,2025/04/03,2537.12,Abierto,,2537.12,fecha_invalida
336,23055,29-12-2025,nan,,2025-12-29,,"monto_nulo_o_no_numerico, estado_nulo"
337,15288,2025/02/20,"4.485,08",,,4485.08,"fecha_invalida, estado_nulo"
338,13062,2025-08-16,-,,,,"fecha_invalida, monto_nulo_o_no_numerico, estado_nulo"
339,8768,25/01/2025,2863.49,Abierto,,2863.49,fecha_invalida
340,4853,11-16-25,"8.016,06",Abierto,,8016.06,fecha_invalida
341,21940,23/03/2025,"11.851,07",,,11851.07,"fecha_invalida, estado_nulo"
342,5070,11-22-25,6723.23,,,6723.23,"fecha_invalida, estado_nulo"
343,25543,2025-07-21,"4.564,30",Cerrado,,4564.3,fecha_invalida
344,9611,2025-02-22,2147.03,Cerrado,,2147.03,fecha_invalida
345,5702,08-30-25,10398.23,Abierto,,10398.23,fecha_invalida
346,16953,02-03-26,"14,629.39",Cerrado,,14629.39,fecha_invalida
347,18616,07-13-25,nan,Cerrado,,,"fecha_invalida, monto_nulo_o_no_numerico"
348,3786,09/02/2026,"3.564,35",,2026-09-02,3564.35,estado_nulo
349,18539,11-27-25,"-4.684,76",Cerrado,,-4684.76,"fecha_invalida, monto_no_positivo"
351,4779,2025/05/29,-,Cerrado,,,"fecha_invalida, monto_nulo_o_no_numerico"
353,21230,14-10-2025,nan,Abierto,2025-10-14,,monto_nulo_o_no_numerico
354,23874,2025/04/20,12544.63,Rechazado,,12544.63,fecha_invalida
355,23407,09-08-2025,-,Cerrado,2025-08-09,,monto_nulo_o_no_numerico
357,3742,2026/01/14,-,,,,"fecha_invalida, monto_nulo_o_no_numerico, estado_nulo"
358,5810,18-11-2025,"6,718.36",,2025-11-18,6718.36,estado_nulo
359,12112,2025-10-26,2073.55,Abierto,,2073.55,fecha_invalida
360,24056,2025-09-20,7083.76,Rechazado,,7083.76,fecha_invalida
361,16268,07-17-25,13927.17,Abierto,,13927.17,fecha_invalida
362,18426,04-19-25,nan,Abierto,,,"fecha_invalida, monto_nulo_o_no_numerico"
364,16748,24-08-2025,"7.756,38",,2025-08-24,7756.38,estado_nulo
365,18228,17/11/2025,13973.16,Cerrado,,13973.16,fecha_invalida
368,14823,11-10-25,1629.44,Abierto,,1629.44,fecha_invalida
369,15818,2025-02-14,434.28,Abierto,,434.28,fecha_invalida
370,20114,14/02/2026,"5,559.03",Abierto,,5559.03,fecha_invalida
372,941,2025-01-31,10846.29,Abierto,,10846.29,fecha_invalida
373,16241,2026/02/16,"2,754.60",Cerrado,,2754.6,fecha_invalida
374,24381,07-27-25,nan,Abierto,,,"fecha_invalida, monto_nulo_o_no_numerico"
375,3784,02-21-25,"6.278,59",Cerrado,,6278.59,fecha_invalida
376,18210,21-04-2025,13180.58,,2025-04-21,13180.58,estado_nulo
377,19938,2026-01-27,"-3,081.44",Abierto,,-3081.44,"fecha_invalida, monto_no_positivo"
379,19394,2025/04/11,"4,337.43",Cerrado,,4337.43,fecha_invalida
380,19177,20-11-2025,nan,,2025-11-20,,"monto_nulo_o_no_numerico, estado_nulo"
381,18189,31/01/2026,nan,Cerrado,,,"fecha_invalida, monto_nulo_o_no_numerico"
382,13149,2026/02/13,5788.34,,,5788.34,"fecha_invalida, estado_nulo"
383,3726,2026/02/08,-,Cerrado,,,"fecha_invalida, monto_nulo_o_no_numerico"
385,3696,12/02/2026,2099.51,,2026-12-02,2099.51,estado_nulo
386,20394,19-01-2026,nan,,2026-01-19,,"monto_nulo_o_no_numerico, estado_nulo"
387,7121,16-03-2025,101.74,,2025-03-16,101.74,estado_nulo
388,8625,30/10/2025,4076.28,,,4076.28,"fecha_invalida, estado_nulo"
389,21668,01-31-26,11042.25,Abierto,,11042.25,fecha_invalida
390,840,02-23-26,10747.46,Abierto,,10747.46,fecha_invalida
391,24690,2025/01/25,5736.62,,,5736.62,"fecha_invalida, estado_nulo"
392,20920,2025/08/04,"1,035.65",Cerrado,,1035.65,fecha_invalida
393,19824,11-11-25,nan,,,,"fecha_invalida, monto_nulo_o_no_numerico, estado_nulo"
394,7220,25-07-2025,"6.657,59",,2025-07-25,6657.59,estado_nulo
396,986,2025/10/23,"8,896.66",Abierto,,8896.66,fecha_invalida
397,22624,14/06/2025,"6,819.88",Cerrado,,6819.88,fecha_invalida
398,10478,24/08/2025,"7,566.63",Abierto,,7566.63,fecha_invalida
399,1386,2025-04-06,1160.69,Abierto,,1160.69,fecha_invalida
400,6936,02-08-2025,"8.411,60",,2025-08-02,8411.6,estado_nulo
401,12559,2025/01/26,nan,Rechazado,,,"fecha_invalida, monto_nulo_o_no_numerico"
402,22663,29-04-2025,"11.363,64",,2025-04-29,11363.64,estado_nulo
403,9469,01-30-26,"3.664,72",Cerrado,,3664.72,fecha_invalida
404,4048,2025/12/14,nan,,,,"fecha_invalida, monto_nulo_o_no_numerico, estado_nulo"
405,17081,2025/08/02,"13.445,95",Abierto,,13445.95,fecha_invalida
406,13593,31/05/2025,1225.41,Cerrado,,1225.41,fecha_invalida
407,15499,07/02/2026,nan,Abierto,2026-07-02,,monto_nulo_o_no_numerico
408,15018,02-19-26,13987.17,,,13987.17,"fecha_invalida, estado_nulo"
